state,x,y,
Andhra Pradesh,-41,-135,
Arunachal Pradesh,170,96,
Assam,149,53,
Bihar,51,32,
Chhattisgarh,-2,-43,
Goa,-126,-130,
Gujarat,-159,-8,
Haryana,-83,94,
Himachal Pradesh,-67,136,
Jammu And Kashmir,-79,186,
Jharkhand,49,2,
Karnataka,-99,-145,
Kerala,-86,-214,
Madhya Pradesh,-60,-6,
Maharashtra,-99,-69,
Manipur,172,28,
Meghalaya,127,37,
Mizoram,156,-2,
Nagaland,177,54,
Odisha,42,-47,
Punjab,-98,123,
Rajasthan,-126,55,
Sikkim,90,68,
Tamil Nadu,-55,-206,
Telangana,-46,-95,
Tripura,139,9,
Uttar Pradesh,-17,53,
Uttarakhand,-39,107,
West Bengal,88,-5,
